id,aqi,lan,lng,time,tz
446,171,39.929,116.417,1480068000,+08:00
447,168,39.886,116.407,1480068000,+08:00
448,174,39.929,116.339,1480068000,+08:00
449,170,39.878,116.352,1480068000,+08:00
450,170,39.982,116.397,1480068000,+08:00
451,163,39.937,116.461,1480064400,+08:00
452,180,39.987,116.287,1480068000,+08:00
453,204,40.09,116.174,1480068000,+08:00
454,176,40.002,116.207,1480068000,+08:00
455,179,39.863,116.279,1480068000,+08:00
456,174,39.824,116.146,1480068000,+08:00
457,171,39.914,116.184,1480068000,+08:00
458,178,39.742,116.136,1480068000,+08:00
459,268,39.718,116.404,1480068000,+08:00
460,179,39.795,116.506,1480068000,+08:00
461,185,39.886,116.663,1480068000,+08:00
462,158,40.127,116.655,1480068000,+08:00
463,215,40.217,116.23,1480068000,+08:00
464,167,39.937,116.106,1480068000,+08:00
465,158,40.143,117.1,1480068000,+08:00
466,159,40.328,116.628,1480068000,+08:00
467,159,40.37,116.832,1480068000,+08:00
468,176,40.453,115.972,1480068000,+08:00
469,175,40.292,116.22,1480068000,+08:00
471,153,40.499,116.911,1480068000,+08:00
472,161,40.1,117.12,1479646800,+08:00
473,362,39.712,116.783,1480068000,+08:00
474,356,39.52,116.3,1480068000,+08:00
475,251,39.58,116.0,1480068000,+08:00
476,174,39.899,116.395,1480068000,+08:00
477,169,39.876,116.394,1480068000,+08:00
478,172,39.954,116.349,1480068000,+08:00
479,172,39.856,116.368,1480068000,+08:00
480,169,39.939,116.483,1480068000,+08:00
481,151,31.234814,121.410728,1480064400,+08:00
482,137,31.2659,121.536,1480064400,+08:00
483,122,31.201014,121.483231,1480064400,+08:00
484,155,31.0935,120.978,1480064400,+08:00
485,151,31.3008,121.467,1480064400,+08:00
486,157,31.2261,121.425,1480064400,+08:00
487,137,31.1654,121.412,1480064400,+08:00
488,142,31.1907,121.703,1480064400,+08:00
489,129,31.2071,121.577,1480064400,+08:00
490,122,31.2284,121.533,1480064400,+08:00
491,142,31.230393,121.473704,1480064400,+08:00
496,178,41.7832349,123.4267266,1480064400,+08:00
497,109,36.66222222,117.0486111,1480068000,+08:00
498,65,36.63777778,117.0688889,1480064400,+08:00
499,95,36.66138889,117.0211111,1480068000,+08:00
500,122,36.61138889,116.9880556,1480064400,+08:00
501,55,36.59277778,117.0241667,1479819600,+08:00
502,155,36.663,116.945,1480064400,+08:00
504,153,36.70027778,116.9477778,1480068000,+08:00
505,107,36.68722222,116.9886111,1480068000,+08:00
506,154,36.68527778,117.0602778,1480068000,+08:00
507,149,36.68138889,117.1858333,1480068000,+08:00
