id,aqi,lan,lng,time,tz
446,117,39.929,116.417,1494496800,+08:00
447,91,39.886,116.407,1494496800,+08:00
448,130,39.929,116.339,1494496800,+08:00
449,124,39.878,116.352,1494496800,+08:00
450,132,39.982,116.397,1494496800,+08:00
451,114,39.937,116.461,1494496800,+08:00
452,155,39.987,116.287,1494496800,+08:00
453,82,40.09,116.174,1494496800,+08:00
454,126,40.002,116.207,1494496800,+08:00
455,125,39.863,116.279,1494496800,+08:00
456,146,39.824,116.146,1494496800,+08:00
457,160,39.914,116.184,1494496800,+08:00
458,137,39.742,116.136,1494496800,+08:00
459,92,39.718,116.404,1494496800,+08:00
460,104,39.795,116.506,1494496800,+08:00
461,97,39.886,116.663,1494496800,+08:00
462,97,40.127,116.655,1494496800,+08:00
463,119,40.217,116.23,1494496800,+08:00
464,195,39.937,116.106,1494496800,+08:00
465,151,40.143,117.1,1494496800,+08:00
466,72,40.328,116.628,1494496800,+08:00
467,74,40.37,116.832,1494496800,+08:00
468,142,40.453,115.972,1494496800,+08:00
469,184,40.292,116.22,1494496800,+08:00
470,132,40.365,115.988,1494493200,+08:00
471,127,40.499,116.911,1494496800,+08:00
472,153,40.1,117.12,1494496800,+08:00
473,164,39.712,116.783,1494496800,+08:00
474,159,39.52,116.3,1494496800,+08:00
475,82,39.58,116.0,1494496800,+08:00
476,82,39.899,116.395,1494496800,+08:00
477,63,39.876,116.394,1494496800,+08:00
478,80,39.954,116.349,1494496800,+08:00
479,107,39.856,116.368,1494496800,+08:00
480,83,39.939,116.483,1494496800,+08:00
481,139,31.234814,121.410728,1494493200,+08:00
482,151,31.2659,121.536,1494493200,+08:00
483,157,31.201014,121.483231,1494493200,+08:00
484,162,31.0935,120.978,1494493200,+08:00
485,134,31.3008,121.467,1494493200,+08:00
486,151,31.2261,121.425,1494493200,+08:00
487,149,31.1654,121.412,1494493200,+08:00
488,137,31.1907,121.703,1494493200,+08:00
489,152,31.2071,121.577,1494493200,+08:00
490,139,31.2284,121.533,1494493200,+08:00
491,149,31.230393,121.473704,1494493200,+08:00
496,107,41.7832349,123.4267266,1494496800,+08:00
497,127,36.66222222,117.0486111,1494493200,+08:00
498,107,36.63777778,117.0688889,1493294400,+08:00
499,129,36.66138889,117.0211111,1494493200,+08:00
500,109,36.61138889,116.9880556,1494493200,+08:00
501,129,36.59277778,117.0241667,1494493200,+08:00
502,117,36.663,116.945,1494496800,+08:00
504,117,36.70027778,116.9477778,1494493200,+08:00
505,156,36.68722222,116.9886111,1494493200,+08:00
506,122,36.68527778,117.0602778,1494493200,+08:00
507,137,36.68138889,117.1858333,1494493200,+08:00
508,340,36.72256667,117.1247222,1494496800,+08:00
509,114,36.4785,117.2130556,1494493200,+08:00
510,134,36.54861111,116.7651667,1494493200,+08:00
511,139,36.68538889,117.1247222,1494496800,+08:00
517,154,35.970289,120.155109,1494493200,+08:00
519,122,36.240156,120.660697,1494493200,+08:00
520,114,36.090925,120.48547,1494493200,+08:00
522,165,36.154078,120.427178,1494493200,+08:00
524,151,36.308156,120.460772,1494493200,+08:00
527,144,36.80833333,118.0422222,1494493200,+08:00
528,109,36.83805556,118.0447222,1494496800,+08:00
529,151,36.84333333,118.0175,1494493200,+08:00
530,158,36.80305556,118.0244444,1494493200,+08:00
531,139,36.49722222,117.8477778,1494493200,+08:00
532,91,36.45972222,117.8702778,1494493200,+08:00
533,159,36.81972222,118.3091667,1494496800,+08:00
534,134,36.76555556,118.2491667,1494493200,+08:00
535,161,36.80416667,117.8511111,1494493200,+08:00
536,156,36.825,117.9205556,1494496800,+08:00
537,119,36.90472222,118.0158333,1494493200,+08:00
538,160,34.85138889,117.5638889,1494493200,+08:00
539,210,34.82,117.5897222,1494493200,+08:00
540,134,34.79111111,117.2666667,1494496800,+08:00
541,161,34.77388889,117.5708333,1494493200,+08:00
542,157,34.58055556,117.7352778,1494493200,+08:00
543,153,35.07083333,117.4516667,1494493200,+08:00
544,152,34.81027778,117.3147222,1494493200,+08:00
545,122,34.8225,117.3575,1494493200,+08:00
546,163,37.43138889,118.6672222,1494493200,+08:00
548,175,37.43805556,118.625,1494493200,+08:00
549,174,37.44166667,118.5044444,1494493200,+08:00
550,172,37.44444444,118.5527778,1494493200,+08:00
551,178,37.46583333,118.5022222,1494493200,+08:00
552,161,37.47222222,118.6408333,1494493200,+08:00
553,185,37.88305556,118.5163889,1494493200,+08:00
554,171,37.43444444,118.6961111,1494493200,+08:00
555,132,37.54311096,121.371706,1494493200,+08:00
557,149,37.52368316,121.3553673,1494493200,+08:00
