id,aqi,lan,lng,time,tz
446,122,39.929,116.417,1496498400,+08:00
447,107,39.886,116.407,1496498400,+08:00
448,119,39.929,116.339,1496498400,+08:00
449,132,39.878,116.352,1496498400,+08:00
450,91,39.982,116.397,1496498400,+08:00
451,142,39.937,116.461,1496494800,+08:00
452,99,39.987,116.287,1496498400,+08:00
453,80,40.09,116.174,1496498400,+08:00
454,68,40.002,116.207,1496498400,+08:00
455,93,39.863,116.279,1496498400,+08:00
456,78,39.824,116.146,1496498400,+08:00
457,102,39.914,116.184,1496498400,+08:00
458,132,39.742,116.136,1496498400,+08:00
459,99,39.718,116.404,1496498400,+08:00
460,127,39.795,116.506,1496498400,+08:00
461,119,39.886,116.663,1496498400,+08:00
462,61,40.127,116.655,1496498400,+08:00
463,78,40.217,116.23,1496498400,+08:00
464,80,39.937,116.106,1496498400,+08:00
465,65,40.143,117.1,1496498400,+08:00
466,63,40.328,116.628,1496498400,+08:00
467,62,40.37,116.832,1496498400,+08:00
468,63,40.453,115.972,1496498400,+08:00
469,57,40.292,116.22,1496498400,+08:00
470,42,40.365,115.988,1496498400,+08:00
471,54,40.499,116.911,1496498400,+08:00
472,59,40.1,117.12,1496498400,+08:00
473,102,39.712,116.783,1495630800,+08:00
474,61,39.52,116.3,1496498400,+08:00
475,85,39.58,116.0,1496498400,+08:00
476,151,39.899,116.395,1496498400,+08:00
477,109,39.876,116.394,1496498400,+08:00
478,124,39.954,116.349,1496498400,+08:00
479,127,39.856,116.368,1496498400,+08:00
480,74,39.939,116.483,1496322000,+08:00
481,81,31.234814,121.410728,1496494800,+08:00
482,58,31.2659,121.536,1496494800,+08:00
483,59,31.201014,121.483231,1496494800,+08:00
484,75,31.0935,120.978,1496494800,+08:00
485,64,31.3008,121.467,1496494800,+08:00
486,73,31.2261,121.425,1496494800,+08:00
487,70,31.1654,121.412,1496494800,+08:00
488,61,31.1907,121.703,1496494800,+08:00
489,63,31.2071,121.577,1496494800,+08:00
490,70,31.2284,121.533,1496494800,+08:00
491,65,31.230393,121.473704,1496491200,+08:00
496,55,41.7832349,123.4267266,1496494800,+08:00
497,117,36.66222222,117.0486111,1496494800,+08:00
498,107,36.63777778,117.0688889,1493294400,+08:00
499,85,36.66138889,117.0211111,1496498400,+08:00
500,97,36.61138889,116.9880556,1496498400,+08:00
501,129,36.59277778,117.0241667,1496498400,+08:00
502,73,36.663,116.945,1496498400,+08:00
504,85,36.70027778,116.9477778,1496498400,+08:00
505,85,36.68722222,116.9886111,1496491200,+08:00
507,153,36.68138889,117.1858333,1496498400,+08:00
508,89,36.72256667,117.1247222,1496498400,+08:00
509,114,36.4785,117.2130556,1496498400,+08:00
510,88,36.54861111,116.7651667,1496498400,+08:00
511,107,36.68538889,117.1247222,1496498400,+08:00
517,44,35.970289,120.155109,1496498400,+08:00
519,40,36.240156,120.660697,1496498400,+08:00
520,50,36.090925,120.48547,1496498400,+08:00
522,50,36.154078,120.427178,1496498400,+08:00
524,53,36.308156,120.460772,1496498400,+08:00
526,85,36.66555556,117.9233333,1496494800,+08:00
527,70,36.80833333,118.0422222,1496498400,+08:00
528,65,36.83805556,118.0447222,1496498400,+08:00
529,104,36.84333333,118.0175,1496494800,+08:00
530,119,36.80305556,118.0244444,1496498400,+08:00
531,117,36.49722222,117.8477778,1496498400,+08:00
532,93,36.45972222,117.8702778,1496498400,+08:00
533,69,36.81972222,118.3091667,1496498400,+08:00
534,53,36.76555556,118.2491667,1496498400,+08:00
535,142,36.80416667,117.8511111,1496498400,+08:00
536,80,36.825,117.9205556,1496498400,+08:00
537,57,36.90472222,118.0158333,1496498400,+08:00
538,89,34.85138889,117.5638889,1496498400,+08:00
539,109,34.82,117.5897222,1496498400,+08:00
540,91,34.79111111,117.2666667,1496494800,+08:00
541,91,34.77388889,117.5708333,1496498400,+08:00
542,82,34.58055556,117.7352778,1496498400,+08:00
543,87,35.07083333,117.4516667,1496494800,+08:00
544,114,34.81027778,117.3147222,1496498400,+08:00
545,85,34.8225,117.3575,1496498400,+08:00
546,48,37.43138889,118.6672222,1496498400,+08:00
548,154,37.43805556,118.625,1496498400,+08:00
549,193,37.44166667,118.5044444,1496498400,+08:00
550,48,37.44444444,118.5527778,1496494800,+08:00
551,55,37.46583333,118.5022222,1496494800,+08:00
552,43,37.47222222,118.6408333,1496498400,+08:00
553,82,37.88305556,118.5163889,1496498400,+08:00
554,43,37.43444444,118.6961111,1496498400,+08:00
555,53,37.54311096,121.371706,1496498400,+08:00
557,55,37.52368316,121.3553673,1496494800,+08:00
558,39,37.47141415,121.2550926,1496498400,+08:00
559,45,37.37605485,121.5817255,1496498400,+08:00
560,48,37.47743887,121.4430704,1496498400,+08:00
561,47,37.42609554,121.4031242,1496498400,+08:00
562,105,37.42276743,121.5068398,1496494800,+08:00
563,45,37.5599778,121.2529217,1496498400,+08:00
564,48,37.60240665,121.1421659,1496498400,+08:00
565,38,37.67283315,121.0662505,1496494800,+08:00
566,50,36.73055556,119.0919444,1496498400,+08:00
567,55,36.71955556,119.0481667,1496498400,+08:00
568,89,36.68194444,119.0999444,1496498400,+08:00
569,48,36.77305556,119.1938889,1496498400,+08:00
570,54,36.65722222,119.1613889,1496498400,+08:00
571,57,36.70083333,119.1625,1496498400,+08:00
572,60,36.70194444,119.14,1496498400,+08:00
573,76,36.64111111,119.1108333,1496498400,+08:00
574,53,36.77305556,119.1095667,1496498400,+08:00
575,160,35.40888889,116.6186111,1496498400,+08:00
576,109,35.42505556,116.6936111,1496498400,+08:00
577,179,35.36477778,116.6038889,1496498400,+08:00
578,134,35.39088889,116.5476111,1496498400,+08:00
579,132,35.39088889,116.6576111,1496498400,+08:00
580,137,35.44277778,116.5963889,1496494800,+08:00
581,134,35.43677778,116.6376111,1496498400,+08:00
582,122,36.19416667,117.1536111,1496498400,+08:00
583,102,36.17583333,117.1180556,1496498400,+08:00
584,104,36.19416667,117.0980556,1496498400,+08:00
585,95,36.20472222,117.1841667,1496498400,+08:00
586,181,36.17,117.1591667,1496494800,+08:00
587,105,36.20194444,117.0411111,1496498400,+08:00
588,99,36.11638889,117.1013889,1496498400,+08:00
589,76,37.51292649,122.0620045,1496498400,+08:00
590,43,37.32453537,122.1558142,1496498400,+08:00
591,36,37.51363425,122.1412574,1496498400,+08:00
592,42,37.48458826,122.0444208,1496498400,+08:00
593,65,37.53392123,122.0512579,1496498400,+08:00
594,42,37.42694682,122.1257714,1496498400,+08:00
595,33,35.40777778,119.5205556,1496491200,+08:00
597,37,35.38888889,119.4908333,1496498400,+08:00
598,42,35.4625,119.5688889,1496498400,+08:00
599,44,35.44222222,119.5327778,1496498400,+08:00
600,39,35.29361111,119.34,1496494800,+08:00
601,57,35.37361111,119.5086111,1496498400,+08:00
604,156,36.26611111,117.6469444,1496498400,+08:00
605,127,36.245,117.7330556,1496498400,+08:00
606,151,36.20805556,117.725,1496498400,+08:00
607,91,36.06694444,117.8661111,1496498400,+08:00
608,54,35.06222222,118.2938889,1496498400,+08:00
609,59,35.05722222,118.3416667,1496494800,+08:00
610,85,35.11527778,118.2877778,1496498400,+08:00
611,74,35.10527778,118.3477778,1496498400,+08:00
612,76,34.98166667,118.2763889,1496498400,+08:00
613,74,34.99944444,118.2516667,1496498400,+08:00
614,45,35.08972222,118.4023333,1496498400,+08:00
615,74,35.01055556,118.43,1496494800,+08:00
616,59,37.46527778,116.3083333,1496498400,+08:00
618,63,37.43222222,116.3713889,1496498400,+08:00
619,55,37.44888889,116.3188889,1496498400,+08:00
620,159,37.46194444,116.3516667,1496498400,+08:00
621,152,37.47805556,116.3105556,1496498400,+08:00
622,72,36.44444444,115.9661111,1496498400,+08:00
623,76,36.45666667,115.9966667,1496498400,+08:00
624,58,36.47944444,115.9836111,1496498400,+08:00
625,65,36.43194444,115.9513889,1496498400,+08:00
626,59,36.47111111,115.9547222,1496498400,+08:00
627,70,36.45916667,116.0377778,1496498400,+08:00
628,55,37.37944444,118.0208333,1496498400,+08:00
629,68,37.38305556,117.9830556,1496494800,+08:00
630,44,37.36083333,117.9966667,1496498400,+08:00
631,59,37.39555556,117.9377778,1496498400,+08:00
632,53,37.35555556,117.9375,1496498400,+08:00
633,277,37.3675,117.9730556,1496498400,+08:00
634,134,35.24888889,115.4227778,1496498400,+08:00
635,99,35.22305556,115.5258333,1496498400,+08:00
636,117,35.2375,115.4747222,1496498400,+08:00
637,93,35.24361111,115.4086111,1496498400,+08:00
638,76,35.26194444,115.5191667,1496498400,+08:00
639,124,35.27,115.455,1496498400,+08:00
640,99,36.22888889,117.6888889,1496498400,+08:00
641,95,38.031,114.542,1496494800,+08:00
642,80,38.012,114.467,1496494800,+08:00
644,80,38.051,114.455,1496494800,+08:00
645,82,38.052,114.521,1496494800,+08:00
646,76,38.14,114.502,1496494800,+08:00
647,87,38.04,114.605,1496494800,+08:00
648,74,37.91,114.354,1496494800,+08:00
650,68,39.668,118.219,1496494800,+08:00
652,76,39.641,118.185,1496494800,+08:00
653,74,39.643,118.144,1496494800,+08:00
654,70,39.631,118.166,1496494800,+08:00
655,46,39.957,119.602,1496494800,+08:00
656,21,39.828,119.526,1496494800,+08:00
657,45,40.018,119.762,1496494800,+08:00
658,96,39.942,119.537,1496494800,+08:00
659,49,39.936,119.607,1496480400,+08:00
660,82,36.62,114.496,1496494800,+08:00
661,63,36.618,114.513,1496494800,+08:00
662,124,36.616,114.543,1496494800,+08:00
663,95,36.578,114.504,1496494800,+08:00
664,50,37.096,114.533,1496494800,+08:00
665,63,37.097,114.482,1496494800,+08:00
666,42,37.053,114.526,1496494800,+08:00
667,39,37.062,114.485,1496494800,+08:00
668,75,38.871,115.521,1496494800,+08:00
669,63,38.842,115.461,1496494800,+08:00
670,71,38.896,115.522,1496494800,+08:00
671,74,38.911,115.471,1496494800,+08:00
672,70,38.876,115.442,1496494800,+08:00
673,84,38.863,115.493,1496494800,+08:00
674,53,40.769,114.903,1496494800,+08:00
675,58,40.873,114.904,1496494800,+08:00
676,55,40.837,114.898,1496494800,+08:00
677,58,40.811,114.881,1496494800,+08:00
678,85,40.795,114.892,1496494800,+08:00
679,61,40.916,117.966,1496494800,+08:00
680,46,40.973,117.818,1496494800,+08:00
681,43,40.984,117.952,1496494800,+08:00
682,68,40.936,117.963,1496494800,+08:00
683,42,41.011,117.938,1496494800,+08:00
684,89,38.323,116.871,1496494800,+08:00
685,87,38.299,116.885,1496494800,+08:00
686,68,38.325,116.858,1496494800,+08:00
687,161,39.557,116.715,1482782400,+08:00
688,87,39.518,116.684,1496494800,+08:00
689,89,39.575,116.773,1496494800,+08:00
690,89,39.534,116.737,1496494800,+08:00
691,55,37.739,115.69,1496494800,+08:00
692,91,37.738,115.643,1496494800,+08:00
693,51,37.758,115.695,1496494800,+08:00
695,225,39.17295,117.1933667,1480078800,+08:00
696,65,39.16543333,117.1446333,1496498400,+08:00
698,91,39.11083,117.2452,1496498400,+08:00
699,39,39.0927,117.2016833,1496498400,+08:00
700,97,39.22605,117.18495,1496498400,+08:00
702,85,39.08714,117.3145,1496498400,+08:00
704,78,39.03431667,117.70715,1496498400,+08:00
705,97,38.83945,117.45735,1496498400,+08:00
707,93,38.98458333,117.3747333,1496498400,+08:00
708,76,39.02096667,117.6503,1496498400,+08:00
709,85,39.24735,117.7917667,1496498400,+08:00
711,235,39.37261667,117.0439833,1478797200,+08:00
712,91,40.04175,117.4444167,1496498400,+08:00
713,112,38.91943333,117.1566333,1496498400,+08:00
714,89,39.32815,117.8165667,1496498400,+08:00
716,93,39.07846667,117.0901667,1496498400,+08:00
717,999,39.15106667,117.3747667,1493982000,+08:00
718,93,39.15875,117.7641667,1496498400,+08:00
719,112,38.84516667,116.7794167,1496498400,+08:00
720,97,39.51626667,117.3431167,1496498400,+08:00
721,104,30.246,120.128,1496494800,+08:00
722,97,30.288,120.171,1496494800,+08:00
723,104,30.21,120.210833,1496494800,+08:00
724,87,30.31194444,120.1197222,1496494800,+08:00
725,96,30.268,120.193,1496494800,+08:00
726,95,30.30583333,120.3480556,1496494800,+08:00
727,107,30.18083333,120.0883333,1496494800,+08:00
728,104,30.27472222,120.0633333,1496494800,+08:00
729,112,30.18194444,120.2697222,1496494800,+08:00
730,80,29.640581,119.025965,1496494800,+08:00
731,68,30.418333,120.300556,1496494800,+08:00
732,57,30.051,119.9589,1495706400,+08:00
736,153,28.013044,120.675116,1496494800,+08:00
737,127,28.005239,120.638037,1496494800,+08:00
738,114,27.971359,120.764294,1496494800,+08:00
739,99,27.985079,120.679665,1496494800,+08:00
740,55,30.75666667,120.7630556,1496491200,+08:00
741,59,30.747405,120.730691,1496494800,+08:00
742,58,30.777969,120.743647,1496491200,+08:00
745,80,30.864437,120.079708,1496494800,+08:00
746,119,29.993049,120.643444,1496491200,+08:00
748,122,29.989283,120.609511,1496494800,+08:00
749,109,30.078374,120.617462,1496494800,+08:00
750,80,29.933613,120.573047,1496491200,+08:00
753,80,29.728868,120.217123,1496491200,+08:00
754,72,29.102917,119.685611,1496494800,+08:00
755,76,29.077,119.6474167,1496494800,+08:00
756,177,29.11305556,119.6489444,1482562800,+08:00
759,76,28.94041667,118.8713056,1496494800,+08:00
760,78,28.964613,118.876145,1496494800,+08:00
761,85,28.97452778,118.85525,1496494800,+08:00
762,56,29.99444444,122.1897222,1496491200,+08:00
763,66,29.95378,122.3135,1496491200,+08:00
764,64,30.02027778,122.1222222,1496491200,+08:00
765,55,28.654166,121.41888,1496494800,+08:00
766,70,28.57736111,121.3767778,1496494800,+08:00
767,53,28.659261,121.280823,1496494800,+08:00
768,78,28.42305556,119.8794444,1496494800,+08:00
769,65,28.447794,119.9187,1496494800,+08:00
770,63,28.454307,119.934922,1496494800,+08:00
771,93,23.1422,113.235,1496494800,+08:00
772,78,23.1331,113.26,1496494800,+08:00
773,74,23.105,113.261,1496494800,+08:00
775,78,23.0916,113.348,1496494800,+08:00
776,89,23.105,113.433,1496494800,+08:00
777,76,22.9477,113.352,1496494800,+08:00
778,87,23.3917,113.215,1484557200,+08:00
779,80,23.2783,113.568,1496494800,+08:00
780,85,23.1569,113.281,1496494800,+08:00
781,112,23.6502,113.6246,1496494800,+08:00
782,151,23.4208,113.073,1496494800,+08:00
783,78,23.1064,113.3328,1496494800,+08:00
784,59,22.2281,113.299,1496494800,+08:00
785,68,22.2611,113.574,1496494800,+08:00
786,57,22.2294,113.495,1496494800,+08:00
787,38,22.4251,113.628,1496494800,+08:00
789,87,23.0048,113.134,1496494800,+08:00
790,97,23.0395,113.105,1496494800,+08:00
791,157,23.1886,112.863,1496491200,+08:00
792,85,23.0467,113.144,1496494800,+08:00
793,114,22.8693,112.844,1496494800,+08:00
794,78,23.1572,112.885,1496494800,+08:00
795,117,22.809444,113.287778,1483804800,+08:00
796,112,22.765556,113.253056,1483804800,+08:00
798,68,22.5931,113.0819,1496494800,+08:00
799,97,22.7279,112.929,1484528400,+08:00
800,35,22.0608,112.7607,1496494800,+08:00
801,132,22.5862,112.5814,1496494800,+08:00
802,53,22.5811,113.074,1496494800,+08:00
803,99,22.6069,113.104,1496494800,+08:00
804,74,22.5328,113.024,1496494800,+08:00
805,74,23.1617,112.565,1496494800,+08:00
806,76,23.0706,112.427,1496494800,+08:00
808,76,23.0528,112.471,1496494800,+08:00
809,80,22.9398,114.3806,1496494800,+08:00
810,72,23.08,114.4053,1496494800,+08:00
812,65,23.0528,114.4183,1496494800,+08:00
813,117,23.1142,114.4103,1496494800,+08:00
814,57,22.8172,114.3244,1496494800,+08:00
815,82,22.7422,114.5317,1496494800,+08:00
816,65,23.06,113.748056,1484557200,+08:00
817,80,23.0536,113.7819,1484557200,+08:00
818,153,23.01277778,113.7944444,1496494800,+08:00
819,122,22.96583333,113.7383333,1496494800,+08:00
820,117,23.02777778,113.7461111,1496494800,+08:00
821,63,22.5078,113.402,1496494800,+08:00
822,55,22.4886,113.434,1496494800,+08:00
823,68,22.5211,113.369,1496494800,+08:00
824,70,22.5481,113.365,1496494800,+08:00
825,156,32.108333,118.803056,1496494800,+08:00
826,127,32.057222,118.748611,1496494800,+08:00
827,142,32.07,118.773611,1496494800,+08:00
828,147,32.014444,118.776944,1496494800,+08:00
829,152,32.031389,118.803056,1496494800,+08:00
830,124,32.0775,118.794722,1496494800,+08:00
831,197,32.087778,118.625556,1496494800,+08:00
832,151,32.009167,118.736667,1496494800,+08:00
833,162,32.105,118.906944,1496494800,+08:00
834,72,31.247222,120.561389,1496494800,+08:00
835,71,31.302778,120.617778,1496494800,+08:00
836,93,31.301944,120.590833,1496494800,+08:00
837,70,31.301389,120.596667,1496494800,+08:00
838,78,31.270556,120.613056,1496494800,+08:00
839,74,31.299444,120.550278,1496494800,+08:00
840,82,31.312111,120.66525,1496494800,+08:00
841,79,31.370833,120.640556,1496494800,+08:00
842,102,31.968056,120.905,1496494800,+08:00
843,98,32.006667,120.8425,1496494800,+08:00
844,74,32.023611,120.863333,1496494800,+08:00
845,79,31.928333,120.935833,1496494800,+08:00
846,102,32.0425,120.810833,1496494800,+08:00
848,117,34.589556,119.141414,1477684800,+08:00
850,85,34.698428,119.348028,1477684800,+08:00
851,159,34.276111,117.166944,1496494800,+08:00
852,112,34.241667,117.192222,1496494800,+08:00
853,85,34.308333,117.191667,1477677600,+08:00
854,155,34.222222,117.256389,1496494800,+08:00
855,127,34.291111,117.244444,1496494800,+08:00
856,107,34.277778,117.293333,1496494800,+08:00
857,72,34.180556,117.166111,1477684800,+08:00
858,139,32.387778,119.46,1496494800,+08:00
860,152,32.376111,119.388611,1496494800,+08:00
861,162,32.403333,119.439167,1478520000,+08:00
865,112,31.503056,120.241667,1496494800,+08:00
866,109,31.584778,120.353889,1496494800,+08:00
867,89,31.547389,120.353889,1496494800,+08:00
869,102,31.684167,120.288056,1496494800,+08:00
871,109,31.786389,119.8925,1477684800,+08:00
872,93,31.808889,119.961944,1477684800,+08:00
873,102,31.763889,120.039444,1477684800,+08:00
874,93,31.703889,119.935,1496494800,+08:00
875,114,31.910833,119.904722,1496494800,+08:00
877,119,32.188333,119.680556,1496494800,+08:00
878,124,32.215,119.491389,1496494800,+08:00
879,129,32.131944,119.430278,1496494800,+08:00
880,95,32.486667,119.9,1496494800,+08:00
881,104,32.476111,119.944444,1496494800,+08:00
882,93,32.303056,119.881667,1477684800,+08:00
883,152,32.463889,119.888333,1496494800,+08:00
884,79,33.599194,119.056789,1496494800,+08:00
885,81,33.578039,119.007906,1496494800,+08:00
887,82,33.503056,119.141111,1496494800,+08:00
888,82,33.626944,119.012222,1496494800,+08:00
889,58,33.402778,120.117778,1496494800,+08:00
891,102,33.371944,120.128889,1477684800,+08:00
894,129,33.933096,118.292648,1496494800,+08:00
895,151,33.957273,118.232104,1496494800,+08:00
898,57,33.393889,120.155,1496494800,+08:00
899,80,33.607222,118.999444,1496491200,+08:00
901,124,32.41,119.404444,1496494800,+08:00
902,60,34.588556,119.175956,1496494800,+08:00
903,109,31.758333,119.995278,1496494800,+08:00
904,162,30.5746245688383,114.372305072107,1496494800,+08:00
905,172,30.5571378257044,114.251523174281,1496494800,+08:00
906,163,30.6196730729398,114.282229640575,1496494800,+08:00
907,162,30.5332340005751,114.304000350723,1496494800,+08:00
908,172,30.624719,114.370058,1496494800,+08:00
909,168,30.482469,114.156561,1496494800,+08:00
910,165,30.594389,114.301447,1496494800,+08:00
911,160,30.4832623885865,114.401701915129,1496494800,+08:00
912,161,30.633424,114.130212,1496494800,+08:00
913,157,30.29982222,113.8530639,1496494800,+08:00
914,72,22.590807,114.262078,1496494800,+08:00
916,63,22.575856,113.862238,1496494800,+08:00
920,30,22.516847,113.923192,1496498400,+08:00
921,61,22.528186,114.496906,1496494800,+08:00
922,72,22.598902,114.313483,1496498400,+08:00
924,76,22.720358,114.247468,1496498400,+08:00
925,65,22.5500005,114.0960791,1496494800,+08:00
