id,aqi,lan,lng,time,tz
446,91,39.929,116.417,1496397600,+08:00
447,91,39.886,116.407,1496397600,+08:00
448,85,39.929,116.339,1496397600,+08:00
449,85,39.878,116.352,1496394000,+08:00
450,72,39.982,116.397,1496397600,+08:00
451,89,39.937,116.461,1496394000,+08:00
452,72,39.987,116.287,1496397600,+08:00
453,80,40.09,116.174,1496358000,+08:00
454,46,40.002,116.207,1496397600,+08:00
455,85,39.863,116.279,1496397600,+08:00
456,97,39.824,116.146,1496397600,+08:00
457,82,39.914,116.184,1496397600,+08:00
458,80,39.742,116.136,1496397600,+08:00
459,88,39.718,116.404,1496397600,+08:00
460,91,39.795,116.506,1496397600,+08:00
461,87,39.886,116.663,1496397600,+08:00
462,70,40.127,116.655,1496397600,+08:00
463,57,40.217,116.23,1496397600,+08:00
464,95,39.937,116.106,1496397600,+08:00
465,70,40.143,117.1,1496397600,+08:00
466,76,40.328,116.628,1496361600,+08:00
467,53,40.37,116.832,1496397600,+08:00
468,76,40.453,115.972,1496397600,+08:00
469,78,40.292,116.22,1496397600,+08:00
470,91,40.365,115.988,1496358000,+08:00
471,24,40.499,116.911,1496397600,+08:00
472,25,40.1,117.12,1496397600,+08:00
473,102,39.712,116.783,1495630800,+08:00
474,117,39.52,116.3,1496397600,+08:00
475,82,39.58,116.0,1496397600,+08:00
476,124,39.899,116.395,1496397600,+08:00
477,95,39.876,116.394,1496397600,+08:00
478,137,39.954,116.349,1496397600,+08:00
479,99,39.856,116.368,1496397600,+08:00
480,74,39.939,116.483,1496322000,+08:00
481,161,31.234814,121.410728,1496394000,+08:00
482,158,31.2659,121.536,1496394000,+08:00
483,166,31.201014,121.483231,1496394000,+08:00
484,158,31.0935,120.978,1496394000,+08:00
485,157,31.3008,121.467,1496394000,+08:00
486,160,31.2261,121.425,1496394000,+08:00
487,162,31.1654,121.412,1496394000,+08:00
488,144,31.1907,121.703,1496394000,+08:00
489,158,31.2071,121.577,1496394000,+08:00
490,153,31.2284,121.533,1496394000,+08:00
491,158,31.230393,121.473704,1496394000,+08:00
496,42,41.7832349,123.4267266,1496397600,+08:00
497,122,36.66222222,117.0486111,1496397600,+08:00
498,107,36.63777778,117.0688889,1493294400,+08:00
499,82,36.66138889,117.0211111,1496397600,+08:00
500,153,36.61138889,116.9880556,1496397600,+08:00
501,109,36.59277778,117.0241667,1496397600,+08:00
502,78,36.663,116.945,1496397600,+08:00
504,95,36.70027778,116.9477778,1496397600,+08:00
505,63,36.68722222,116.9886111,1496397600,+08:00
506,117,36.68527778,117.0602778,1496397600,+08:00
507,85,36.68138889,117.1858333,1496397600,+08:00
508,124,36.72256667,117.1247222,1496397600,+08:00
509,85,36.4785,117.2130556,1496397600,+08:00
510,99,36.54861111,116.7651667,1496397600,+08:00
511,99,36.68538889,117.1247222,1496397600,+08:00
